Fe,Cu,species,Si_Al,calcination_temp,calcination_time,Aging_O2,Aging_H2O,Aging_CO2,Aging_Temp,Aging_Time,NO,NH3,O2,H2O,GHSV,Measurement_Temp,Conversion
0.57,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,350.242326332794,63.4962140213531
0.57,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,399.51534733441,83.0320218350442
0.57,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,498.86914378029,93.0078879492516
0.57,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,599.83844911147,93.4475117608256
0.57,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,649.111470113085,89.51143693393
1.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,200.0,10.0244498777506
1.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,248.465266558966,29.5606526813892
1.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,298.546042003231,61.3210043804385
1.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,349.434571890145,85.7459977643569
1.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,398.70759289176,90.122881372669
1.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,499.67689822294,93.2519917368102
1.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,599.03069466882,90.0249238656876
1.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,649.919224555735,80.9535847312685
2.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,199.19224555735,10.2693436452042
2.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,250.080775444264,30.7823565890248
2.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,299.35379644588,67.922076383156
2.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,350.242326332794,88.6795881044827
2.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,398.70759289176,89.1448862626446
2.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,500.484652665589,93.0070979693566
2.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,599.83844911147,83.423061883075
2.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,649.111470113085,67.2620481808737
2.7,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,198.384491114701,12.7147264102128
2.7,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,250.080775444264,35.4278333616409
2.7,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,299.35379644588,74.523543375821
2.7,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,349.434571890145,90.8804720919852
2.7,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,399.51534733441,93.5454692678071
2.7,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,499.67689822294,94.4744856243408
2.7,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,599.03069466882,81.4674666529736
2.7,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,648.303715670436,62.372467620699
3.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,200.0,11.4914425427872
3.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,250.080775444264,37.6283223591959
3.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,299.35379644588,79.1690201484372
3.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,351.050080775444,90.1461857795719
3.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,399.51534733441,92.5674741577826
3.0,0.0,ZSM-5,14.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,10.0,5.0,0.52,500.484652665589,94.4740906343933
